"school","sex","age","address.type","famsize","divorced","mom.edu","dad.edu","mom.occ","dad.occ","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher.edu","home.internet","romantic","famrel","freetime","goout","weekday.alc","weekend.alc","health.status","absences","first.period.grade","second.period.grade","final.grade","drinking1","drinking2","drinking"
"GP","F",18,"U","greater than 3","1","university or higher","university or higher","at_home","teacher","course","mother",2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,25,30,30,5,2,1
"GP","F",17,"U","greater than 3","0","elementary school","elementary school","at_home","other","course","father",1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,25,25,30,5,2,1
"GP","F",15,"U","less than or equal to 3","0","elementary school","elementary school","at_home","other","other","mother",1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,35,40,50,10,6,2.5
"GP","F",15,"U","greater than 3","0","university or higher","middle school","health","services","home","mother",1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,75,70,75,5,2,1
"GP","F",16,"U","greater than 3","0","high school","high school","other","other","home","father",1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,30,50,50,5,4,1.5
"GP","M",16,"U","less than or equal to 3","0","university or higher","high school","services","other","reputation","mother",1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,75,75,75,5,4,1.5
"GP","M",16,"U","less than or equal to 3","0","middle school","middle school","other","other","home","mother",1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,60,60,55,5,2,1
"GP","F",17,"U","greater than 3","1","university or higher","university or higher","other","teacher","home","mother",2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,30,25,30,5,2,1
"GP","M",15,"U","less than or equal to 3","1","high school","middle school","services","other","home","mother",1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,80,90,95,5,2,1
"GP","M",15,"U","greater than 3","0","high school","university or higher","other","other","home","mother",1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,70,75,75,5,2,1
"GP","F",15,"U","greater than 3","0","university or higher","university or higher","teacher","health","reputation","mother",1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,50,40,45,5,4,1.5
"GP","F",15,"U","greater than 3","0","middle school","elementary school","services","other","reputation","father",3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,50,60,60,5,2,1
"GP","M",15,"U","less than or equal to 3","0","university or higher","university or higher","health","services","course","father",1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,70,70,70,5,6,2
"GP","M",15,"U","greater than 3","0","university or higher","high school","teacher","other","course","mother",2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,50,50,55,5,4,1.5
"GP","M",15,"U","greater than 3","1","middle school","middle school","other","other","home","other",1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,70,80,80,5,2,1
"GP","F",16,"U","greater than 3","0","university or higher","university or higher","health","other","home","mother",1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,70,70,70,5,4,1.5
"GP","F",16,"U","greater than 3","0","university or higher","university or higher","services","services","reputation","mother",1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,65,70,70,5,4,1.5
"GP","F",16,"U","greater than 3","0","high school","high school","other","other","reputation","mother",3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,40,50,50,5,2,1
"GP","M",17,"U","greater than 3","0","high school","middle school","services","services","course","mother",1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,30,25,25,10,8,3
"GP","M",16,"U","less than or equal to 3","0","university or higher","high school","health","other","home","father",1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,40,50,50,5,6,2
"GP","M",15,"U","greater than 3","0","university or higher","high school","teacher","other","reputation","mother",1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,65,70,75,5,2,1
"GP","M",15,"U","greater than 3","0","university or higher","university or higher","health","health","other","father",1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,60,75,75,5,2,1
"GP","M",16,"U","less than or equal to 3","0","university or higher","middle school","teacher","other","course","mother",1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,75,75,80,5,6,2
"GP","M",16,"U","less than or equal to 3","0","middle school","middle school","other","other","reputation","mother",2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,65,65,60,10,8,3
"GP","F",15,"R","greater than 3","0","middle school","university or higher","services","health","course","mother",1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,50,45,40,5,2,1
"GP","F",16,"U","greater than 3","0","middle school","middle school","services","services","home","mother",1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,30,45,40,5,6,2
"GP","M",15,"U","greater than 3","0","middle school","middle school","other","other","home","mother",1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,60,60,55,5,4,1.5
"GP","M",15,"U","greater than 3","0","university or higher","middle school","health","services","other","mother",1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,75,80,75,10,8,3
"GP","M",16,"U","less than or equal to 3","1","high school","university or higher","services","other","home","mother",1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,55,55,55,5,2,1
"GP","M",16,"U","greater than 3","0","university or higher","university or higher","teacher","teacher","home","mother",1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,50,60,55,25,10,5
"GP","M",15,"U","greater than 3","0","university or higher","university or higher","health","services","home","mother",1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,45,55,60,15,8,3.5
"GP","M",15,"U","greater than 3","0","university or higher","university or higher","services","services","reputation","mother",2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,85,80,85,5,2,1
"GP","M",15,"R","greater than 3","0","university or higher","high school","teacher","at_home","course","mother",1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,85,80,80,5,2,1
"GP","M",15,"U","less than or equal to 3","0","high school","high school","other","other","course","mother",1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,40,50,60,5,2,1
"GP","M",16,"U","greater than 3","0","high school","middle school","other","other","home","mother",1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,60,70,75,5,2,1
"GP","F",15,"U","greater than 3","0","middle school","high school","other","other","other","father",2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,40,35,30,5,2,1
"GP","M",15,"U","less than or equal to 3","0","university or higher","high school","teacher","services","home","mother",1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,75,80,90,5,2,1
